CENSUS_YEAR;WARD;DWELLING_TYPE;DWELLING_TYPE_CODE;DWELLING_TYPE_DESCRIPTION;DWELLING_CNT;RESIDENT_CNT;OCPD_DWELLING_CNT;VACANT_DWELLING_CNT;OCPD_OWNERSHIP_CNT;RENOVATION_DWELLING_CNT;UNDER_CONST_DWELLING_CNT;INACTIVE_CNT;OTHER_PURPOSE_CNT
01/01/2019 12:00:00 AM;1;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;23,063;67,008;22,559;296;20,319;59;122;7;20
01/01/2019 12:00:00 AM;1;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;1,959;4,353;1,855;60;1,118;5;37;1;1
01/01/2019 12:00:00 AM;1;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;84;123;65;18;18;0;1;0;0
01/01/2019 12:00:00 AM;1;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;4,741;7,344;4,487;237;1,714;8;1;3;5
01/01/2019 12:00:00 AM;1;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;3,972;7,832;3,717;149;2,090;11;89;6;0
01/01/2019 12:00:00 AM;1;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;495;897;472;18;417;5;0;0;0
01/01/2019 12:00:00 AM;1;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;606;882;490;96;38;5;1;13;1
01/01/2019 12:00:00 AM;1;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;5;3;1;4;0;0;0;0;0
01/01/2019 12:00:00 AM;1;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;2;1;1;1;0;0;0;0;0
01/01/2019 12:00:00 AM;1;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;2;0;0;0;0;0;0;1;1
